period,respondent,respondent-name,type,type-name,value,value-units
2019-03-04T11,CISO,California Independent System Operator,D,Demand,17120,megawatthours
2019-03-04T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18632,megawatthours
2019-03-04T11,CISO,California Independent System Operator,NG,Net generation,14473,megawatthours
2019-03-04T11,CISO,California Independent System Operator,TI,Total interchange,-2878,megawatthours
2019-03-04T12,CISO,California Independent System Operator,D,Demand,17082,megawatthours
2019-03-04T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18615,megawatthours
2019-03-04T12,CISO,California Independent System Operator,NG,Net generation,15252,megawatthours
2019-03-04T12,CISO,California Independent System Operator,TI,Total interchange,-2804,megawatthours
2019-03-04T13,CISO,California Independent System Operator,D,Demand,17491,megawatthours
2019-03-04T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19249,megawatthours
2019-03-04T13,CISO,California Independent System Operator,NG,Net generation,16289,megawatthours
2019-03-04T13,CISO,California Independent System Operator,TI,Total interchange,-2606,megawatthours
2019-03-04T14,CISO,California Independent System Operator,D,Demand,18449,megawatthours
2019-03-04T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20925,megawatthours
2019-03-04T14,CISO,California Independent System Operator,NG,Net generation,17830,megawatthours
2019-03-04T14,CISO,California Independent System Operator,TI,Total interchange,-2651,megawatthours
2019-03-04T15,CISO,California Independent System Operator,D,Demand,19504,megawatthours
2019-03-04T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23231,megawatthours
2019-03-04T15,CISO,California Independent System Operator,NG,Net generation,19416,megawatthours
2019-03-04T15,CISO,California Independent System Operator,TI,Total interchange,-3200,megawatthours
2019-03-04T16,CISO,California Independent System Operator,D,Demand,19606,megawatthours
2019-03-04T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24351,megawatthours
2019-03-04T16,CISO,California Independent System Operator,NG,Net generation,20081,megawatthours
2019-03-04T16,CISO,California Independent System Operator,TI,Total interchange,-2874,megawatthours
2019-03-04T17,CISO,California Independent System Operator,D,Demand,19327,megawatthours
2019-03-04T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24051,megawatthours
2019-03-04T17,CISO,California Independent System Operator,NG,Net generation,20135,megawatthours
2019-03-04T17,CISO,California Independent System Operator,TI,Total interchange,-2657,megawatthours
2019-03-04T18,CISO,California Independent System Operator,D,Demand,19257,megawatthours
2019-03-04T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23447,megawatthours
2019-03-04T18,CISO,California Independent System Operator,NG,Net generation,20731,megawatthours
2019-03-04T18,CISO,California Independent System Operator,TI,Total interchange,-1942,megawatthours
2019-03-04T19,CISO,California Independent System Operator,D,Demand,19407,megawatthours
2019-03-04T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23180,megawatthours
2019-03-04T19,CISO,California Independent System Operator,NG,Net generation,20251,megawatthours
2019-03-04T19,CISO,California Independent System Operator,TI,Total interchange,-1886,megawatthours
2019-03-04T20,CISO,California Independent System Operator,D,Demand,19419,megawatthours
2019-03-04T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22731,megawatthours
2019-03-04T20,CISO,California Independent System Operator,NG,Net generation,20669,megawatthours
2019-03-04T20,CISO,California Independent System Operator,TI,Total interchange,-2225,megawatthours
2019-03-04T21,CISO,California Independent System Operator,D,Demand,19433,megawatthours
2019-03-04T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22405,megawatthours
2019-03-04T21,CISO,California Independent System Operator,NG,Net generation,20066,megawatthours
2019-03-04T21,CISO,California Independent System Operator,TI,Total interchange,-2135,megawatthours
2019-03-04T22,CISO,California Independent System Operator,D,Demand,19423,megawatthours
2019-03-04T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22356,megawatthours
2019-03-04T22,CISO,California Independent System Operator,NG,Net generation,19654,megawatthours
2019-03-04T22,CISO,California Independent System Operator,TI,Total interchange,-2517,megawatthours
2019-03-04T23,CISO,California Independent System Operator,D,Demand,19399,megawatthours
2019-03-04T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22482,megawatthours
2019-03-04T23,CISO,California Independent System Operator,NG,Net generation,19573,megawatthours
2019-03-04T23,CISO,California Independent System Operator,TI,Total interchange,-2725,megawatthours
2019-03-05T00,CISO,California Independent System Operator,D,Demand,19690,megawatthours
2019-03-05T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22878,megawatthours
2019-03-05T00,CISO,California Independent System Operator,NG,Net generation,19464,megawatthours
2019-03-05T00,CISO,California Independent System Operator,TI,Total interchange,-2864,megawatthours
2019-03-05T01,CISO,California Independent System Operator,D,Demand,20100,megawatthours
2019-03-05T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23774,megawatthours
2019-03-05T01,CISO,California Independent System Operator,NG,Net generation,19049,megawatthours
2019-03-05T01,CISO,California Independent System Operator,TI,Total interchange,-3661,megawatthours
2019-03-05T02,CISO,California Independent System Operator,D,Demand,20925,megawatthours
2019-03-05T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25293,megawatthours
2019-03-05T02,CISO,California Independent System Operator,NG,Net generation,21476,megawatthours
2019-03-05T02,CISO,California Independent System Operator,TI,Total interchange,-4393,megawatthours
2019-03-05T03,CISO,California Independent System Operator,D,Demand,21997,megawatthours
2019-03-05T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27534,megawatthours
2019-03-05T03,CISO,California Independent System Operator,NG,Net generation,21796,megawatthours
2019-03-05T03,CISO,California Independent System Operator,TI,Total interchange,-4171,megawatthours
2019-03-05T04,CISO,California Independent System Operator,D,Demand,21910,megawatthours
2019-03-05T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27709,megawatthours
2019-03-05T04,CISO,California Independent System Operator,NG,Net generation,20933,megawatthours
2019-03-05T04,CISO,California Independent System Operator,TI,Total interchange,-4311,megawatthours
2019-03-05T05,CISO,California Independent System Operator,D,Demand,21593,megawatthours
2019-03-05T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26798,megawatthours
2019-03-05T05,CISO,California Independent System Operator,NG,Net generation,19281,megawatthours
2019-03-05T05,CISO,California Independent System Operator,TI,Total interchange,-4707,megawatthours
2019-03-05T06,CISO,California Independent System Operator,D,Demand,20927,megawatthours
2019-03-05T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25390,megawatthours
2019-03-05T06,CISO,California Independent System Operator,NG,Net generation,18179,megawatthours
2019-03-05T06,CISO,California Independent System Operator,TI,Total interchange,-5136,megawatthours
2019-03-05T07,CISO,California Independent System Operator,D,Demand,19995,megawatthours
2019-03-05T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23516,megawatthours
2019-03-05T07,CISO,California Independent System Operator,NG,Net generation,17126,megawatthours
2019-03-05T07,CISO,California Independent System Operator,TI,Total interchange,-4459,megawatthours
2019-03-05T08,CISO,California Independent System Operator,D,Demand,19060,megawatthours
2019-03-05T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21858,megawatthours
2019-03-05T08,CISO,California Independent System Operator,NG,Net generation,16016,megawatthours
2019-03-05T08,CISO,California Independent System Operator,TI,Total interchange,-3989,megawatthours
2019-03-05T09,CISO,California Independent System Operator,D,Demand,18526,megawatthours
2019-03-05T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20778,megawatthours
2019-03-05T09,CISO,California Independent System Operator,NG,Net generation,15187,megawatthours
2019-03-05T09,CISO,California Independent System Operator,TI,Total interchange,-4338,megawatthours
2019-03-05T10,CISO,California Independent System Operator,D,Demand,18141,megawatthours
2019-03-05T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20137,megawatthours
2019-03-05T10,CISO,California Independent System Operator,NG,Net generation,14982,megawatthours
2019-03-05T10,CISO,California Independent System Operator,TI,Total interchange,-4098,megawatthours
2019-03-05T11,CISO,California Independent System Operator,D,Demand,17951,megawatthours
2019-03-05T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19748,megawatthours
2019-03-05T11,CISO,California Independent System Operator,NG,Net generation,14676,megawatthours
2019-03-05T11,CISO,California Independent System Operator,TI,Total interchange,-3961,megawatthours
2019-03-05T12,CISO,California Independent System Operator,D,Demand,17971,megawatthours
2019-03-05T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19758,megawatthours
2019-03-05T12,CISO,California Independent System Operator,NG,Net generation,15025,megawatthours
2019-03-05T12,CISO,California Independent System Operator,TI,Total interchange,-4068,megawatthours
2019-03-05T13,CISO,California Independent System Operator,D,Demand,18335,megawatthours
2019-03-05T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20427,megawatthours
2019-03-05T13,CISO,California Independent System Operator,NG,Net generation,15727,megawatthours
2019-03-05T13,CISO,California Independent System Operator,TI,Total interchange,-4046,megawatthours
2019-03-05T14,CISO,California Independent System Operator,D,Demand,19288,megawatthours
2019-03-05T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22078,megawatthours
2019-03-05T14,CISO,California Independent System Operator,NG,Net generation,17604,megawatthours
2019-03-05T14,CISO,California Independent System Operator,TI,Total interchange,-4169,megawatthours
2019-03-05T15,CISO,California Independent System Operator,D,Demand,20290,megawatthours
2019-03-05T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24335,megawatthours
2019-03-05T15,CISO,California Independent System Operator,NG,Net generation,19648,megawatthours
2019-03-05T15,CISO,California Independent System Operator,TI,Total interchange,-4450,megawatthours
2019-03-05T16,CISO,California Independent System Operator,D,Demand,20236,megawatthours
2019-03-05T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25785,megawatthours
2019-03-05T16,CISO,California Independent System Operator,NG,Net generation,19289,megawatthours
2019-03-05T16,CISO,California Independent System Operator,TI,Total interchange,-4250,megawatthours
2019-03-05T17,CISO,California Independent System Operator,D,Demand,19786,megawatthours
2019-03-05T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25257,megawatthours
2019-03-05T17,CISO,California Independent System Operator,NG,Net generation,19580,megawatthours
2019-03-05T17,CISO,California Independent System Operator,TI,Total interchange,-4450,megawatthours
2019-03-05T18,CISO,California Independent System Operator,D,Demand,19409,megawatthours
2019-03-05T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24747,megawatthours
2019-03-05T18,CISO,California Independent System Operator,NG,Net generation,20077,megawatthours
2019-03-05T18,CISO,California Independent System Operator,TI,Total interchange,-3907,megawatthours
2019-03-05T19,CISO,California Independent System Operator,D,Demand,19366,megawatthours
2019-03-05T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24351,megawatthours
2019-03-05T19,CISO,California Independent System Operator,NG,Net generation,19764,megawatthours
2019-03-05T19,CISO,California Independent System Operator,TI,Total interchange,-3518,megawatthours
2019-03-05T20,CISO,California Independent System Operator,D,Demand,19479,megawatthours
2019-03-05T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24048,megawatthours
2019-03-05T20,CISO,California Independent System Operator,NG,Net generation,19630,megawatthours
2019-03-05T20,CISO,California Independent System Operator,TI,Total interchange,-3948,megawatthours
2019-03-05T21,CISO,California Independent System Operator,D,Demand,19313,megawatthours
2019-03-05T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23799,megawatthours
2019-03-05T21,CISO,California Independent System Operator,NG,Net generation,20144,megawatthours
2019-03-05T21,CISO,California Independent System Operator,TI,Total interchange,-3642,megawatthours
2019-03-05T22,CISO,California Independent System Operator,D,Demand,19778,megawatthours
2019-03-05T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23832,megawatthours
2019-03-05T22,CISO,California Independent System Operator,NG,Net generation,19842,megawatthours
2019-03-05T22,CISO,California Independent System Operator,TI,Total interchange,-4023,megawatthours
2019-03-05T23,CISO,California Independent System Operator,D,Demand,20070,megawatthours
2019-03-05T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23929,megawatthours
2019-03-05T23,CISO,California Independent System Operator,NG,Net generation,20290,megawatthours
2019-03-05T23,CISO,California Independent System Operator,TI,Total interchange,-3931,megawatthours
2019-03-06T00,CISO,California Independent System Operator,D,Demand,19667,megawatthours
2019-03-06T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24157,megawatthours
2019-03-06T00,CISO,California Independent System Operator,NG,Net generation,19200,megawatthours
2019-03-06T00,CISO,California Independent System Operator,TI,Total interchange,-3638,megawatthours
2019-03-06T01,CISO,California Independent System Operator,D,Demand,20173,megawatthours
2019-03-06T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24549,megawatthours
2019-03-06T01,CISO,California Independent System Operator,NG,Net generation,19321,megawatthours
2019-03-06T01,CISO,California Independent System Operator,TI,Total interchange,-4632,megawatthours
2019-03-06T02,CISO,California Independent System Operator,D,Demand,21475,megawatthours
2019-03-06T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25717,megawatthours
2019-03-06T02,CISO,California Independent System Operator,NG,Net generation,21075,megawatthours
2019-03-06T02,CISO,California Independent System Operator,TI,Total interchange,-5160,megawatthours
2019-03-06T03,CISO,California Independent System Operator,D,Demand,22192,megawatthours
2019-03-06T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27700,megawatthours
2019-03-06T03,CISO,California Independent System Operator,NG,Net generation,20695,megawatthours
2019-03-06T03,CISO,California Independent System Operator,TI,Total interchange,-5370,megawatthours
2019-03-06T04,CISO,California Independent System Operator,D,Demand,22020,megawatthours
2019-03-06T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27792,megawatthours
2019-03-06T04,CISO,California Independent System Operator,NG,Net generation,19724,megawatthours
2019-03-06T04,CISO,California Independent System Operator,TI,Total interchange,-6138,megawatthours
2019-03-06T05,CISO,California Independent System Operator,D,Demand,21719,megawatthours
2019-03-06T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26896,megawatthours
2019-03-06T05,CISO,California Independent System Operator,NG,Net generation,19021,megawatthours
2019-03-06T05,CISO,California Independent System Operator,TI,Total interchange,-6209,megawatthours
2019-03-06T06,CISO,California Independent System Operator,D,Demand,21021,megawatthours
2019-03-06T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25490,megawatthours
2019-03-06T06,CISO,California Independent System Operator,NG,Net generation,17441,megawatthours
2019-03-06T06,CISO,California Independent System Operator,TI,Total interchange,-5662,megawatthours
2019-03-06T07,CISO,California Independent System Operator,D,Demand,19939,megawatthours
2019-03-06T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23528,megawatthours
2019-03-06T07,CISO,California Independent System Operator,NG,Net generation,16592,megawatthours
2019-03-06T07,CISO,California Independent System Operator,TI,Total interchange,-5348,megawatthours
2019-03-06T08,CISO,California Independent System Operator,D,Demand,19103,megawatthours
2019-03-06T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21864,megawatthours
2019-03-06T08,CISO,California Independent System Operator,NG,Net generation,15438,megawatthours
2019-03-06T08,CISO,California Independent System Operator,TI,Total interchange,-4884,megawatthours
2019-03-06T09,CISO,California Independent System Operator,D,Demand,18510,megawatthours
2019-03-06T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21199,megawatthours
2019-03-06T09,CISO,California Independent System Operator,NG,Net generation,14583,megawatthours
2019-03-06T09,CISO,California Independent System Operator,TI,Total interchange,-4803,megawatthours
2019-03-06T10,CISO,California Independent System Operator,D,Demand,18051,megawatthours
2019-03-06T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20411,megawatthours
2019-03-06T10,CISO,California Independent System Operator,NG,Net generation,14191,megawatthours
2019-03-06T10,CISO,California Independent System Operator,TI,Total interchange,-4745,megawatthours
2019-03-06T11,CISO,California Independent System Operator,D,Demand,17820,megawatthours
2019-03-06T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19926,megawatthours
2019-03-06T11,CISO,California Independent System Operator,NG,Net generation,14218,megawatthours
2019-03-06T11,CISO,California Independent System Operator,TI,Total interchange,-4591,megawatthours
2019-03-06T12,CISO,California Independent System Operator,D,Demand,17685,megawatthours
2019-03-06T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19887,megawatthours
2019-03-06T12,CISO,California Independent System Operator,NG,Net generation,14383,megawatthours
2019-03-06T12,CISO,California Independent System Operator,TI,Total interchange,-4214,megawatthours
2019-03-06T13,CISO,California Independent System Operator,D,Demand,17992,megawatthours
2019-03-06T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20424,megawatthours
2019-03-06T13,CISO,California Independent System Operator,NG,Net generation,15113,megawatthours
2019-03-06T13,CISO,California Independent System Operator,TI,Total interchange,-4514,megawatthours
2019-03-06T14,CISO,California Independent System Operator,D,Demand,18860,megawatthours
2019-03-06T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21953,megawatthours
2019-03-06T14,CISO,California Independent System Operator,NG,Net generation,15818,megawatthours
2019-03-06T14,CISO,California Independent System Operator,TI,Total interchange,-4794,megawatthours
2019-03-06T15,CISO,California Independent System Operator,D,Demand,20058,megawatthours
2019-03-06T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24172,megawatthours
2019-03-06T15,CISO,California Independent System Operator,NG,Net generation,17162,megawatthours
2019-03-06T15,CISO,California Independent System Operator,TI,Total interchange,-6150,megawatthours
2019-03-06T16,CISO,California Independent System Operator,D,Demand,20626,megawatthours
2019-03-06T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25513,megawatthours
2019-03-06T16,CISO,California Independent System Operator,NG,Net generation,18562,megawatthours
2019-03-06T16,CISO,California Independent System Operator,TI,Total interchange,-6095,megawatthours
2019-03-06T17,CISO,California Independent System Operator,D,Demand,20737,megawatthours
2019-03-06T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25755,megawatthours
2019-03-06T17,CISO,California Independent System Operator,NG,Net generation,19200,megawatthours
2019-03-06T17,CISO,California Independent System Operator,TI,Total interchange,-5271,megawatthours
2019-03-06T18,CISO,California Independent System Operator,D,Demand,20773,megawatthours
2019-03-06T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25831,megawatthours
2019-03-06T18,CISO,California Independent System Operator,NG,Net generation,19473,megawatthours
2019-03-06T18,CISO,California Independent System Operator,TI,Total interchange,-4761,megawatthours
2019-03-06T19,CISO,California Independent System Operator,D,Demand,20921,megawatthours
2019-03-06T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25903,megawatthours
2019-03-06T19,CISO,California Independent System Operator,NG,Net generation,19702,megawatthours
2019-03-06T19,CISO,California Independent System Operator,TI,Total interchange,-4348,megawatthours
2019-03-06T20,CISO,California Independent System Operator,D,Demand,21009,megawatthours
2019-03-06T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25810,megawatthours
2019-03-06T20,CISO,California Independent System Operator,NG,Net generation,19596,megawatthours
2019-03-06T20,CISO,California Independent System Operator,TI,Total interchange,-4014,megawatthours
2019-03-06T21,CISO,California Independent System Operator,D,Demand,20914,megawatthours
2019-03-06T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25712,megawatthours
2019-03-06T21,CISO,California Independent System Operator,NG,Net generation,20380,megawatthours
2019-03-06T21,CISO,California Independent System Operator,TI,Total interchange,-3442,megawatthours
2019-03-06T22,CISO,California Independent System Operator,D,Demand,20690,megawatthours
2019-03-06T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25635,megawatthours
2019-03-06T22,CISO,California Independent System Operator,NG,Net generation,19712,megawatthours
2019-03-06T22,CISO,California Independent System Operator,TI,Total interchange,-3355,megawatthours
2019-03-06T23,CISO,California Independent System Operator,D,Demand,20448,megawatthours
2019-03-06T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25398,megawatthours
2019-03-06T23,CISO,California Independent System Operator,NG,Net generation,19277,megawatthours
2019-03-06T23,CISO,California Independent System Operator,TI,Total interchange,-3415,megawatthours
2019-03-07T00,CISO,California Independent System Operator,D,Demand,20509,megawatthours
2019-03-07T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25578,megawatthours
2019-03-07T00,CISO,California Independent System Operator,NG,Net generation,18959,megawatthours
2019-03-07T00,CISO,California Independent System Operator,TI,Total interchange,-3893,megawatthours
2019-03-07T01,CISO,California Independent System Operator,D,Demand,20905,megawatthours
2019-03-07T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26022,megawatthours
2019-03-07T01,CISO,California Independent System Operator,NG,Net generation,18417,megawatthours
2019-03-07T01,CISO,California Independent System Operator,TI,Total interchange,-5122,megawatthours
2019-03-07T02,CISO,California Independent System Operator,D,Demand,21648,megawatthours
2019-03-07T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27062,megawatthours
2019-03-07T02,CISO,California Independent System Operator,NG,Net generation,19653,megawatthours
2019-03-07T02,CISO,California Independent System Operator,TI,Total interchange,-6309,megawatthours
2019-03-07T03,CISO,California Independent System Operator,D,Demand,22409,megawatthours
2019-03-07T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,28813,megawatthours
2019-03-07T03,CISO,California Independent System Operator,NG,Net generation,19466,megawatthours
2019-03-07T03,CISO,California Independent System Operator,TI,Total interchange,-6922,megawatthours
2019-03-07T04,CISO,California Independent System Operator,D,Demand,22311,megawatthours
2019-03-07T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,28826,megawatthours
2019-03-07T04,CISO,California Independent System Operator,NG,Net generation,18821,megawatthours
2019-03-07T04,CISO,California Independent System Operator,TI,Total interchange,-7185,megawatthours
2019-03-07T05,CISO,California Independent System Operator,D,Demand,21927,megawatthours
2019-03-07T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27809,megawatthours
2019-03-07T05,CISO,California Independent System Operator,NG,Net generation,17579,megawatthours
2019-03-07T05,CISO,California Independent System Operator,TI,Total interchange,-7281,megawatthours
2019-03-07T06,CISO,California Independent System Operator,D,Demand,21181,megawatthours
2019-03-07T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26236,megawatthours
2019-03-07T06,CISO,California Independent System Operator,NG,Net generation,16465,megawatthours
2019-03-07T06,CISO,California Independent System Operator,TI,Total interchange,-7347,megawatthours
2019-03-07T07,CISO,California Independent System Operator,D,Demand,20056,megawatthours
2019-03-07T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24275,megawatthours
2019-03-07T07,CISO,California Independent System Operator,NG,Net generation,15069,megawatthours
2019-03-07T07,CISO,California Independent System Operator,TI,Total interchange,-6367,megawatthours
2019-03-07T08,CISO,California Independent System Operator,D,Demand,19218,megawatthours
2019-03-07T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22444,megawatthours
2019-03-07T08,CISO,California Independent System Operator,NG,Net generation,14034,megawatthours
2019-03-07T08,CISO,California Independent System Operator,TI,Total interchange,-6370,megawatthours
2019-03-07T09,CISO,California Independent System Operator,D,Demand,18635,megawatthours
2019-03-07T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21191,megawatthours
2019-03-07T09,CISO,California Independent System Operator,NG,Net generation,13304,megawatthours
2019-03-07T09,CISO,California Independent System Operator,TI,Total interchange,-6311,megawatthours
2019-03-07T10,CISO,California Independent System Operator,D,Demand,18193,megawatthours
2019-03-07T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20446,megawatthours
2019-03-07T10,CISO,California Independent System Operator,NG,Net generation,13055,megawatthours
2019-03-07T10,CISO,California Independent System Operator,TI,Total interchange,-5922,megawatthours
2019-03-07T11,CISO,California Independent System Operator,D,Demand,17895,megawatthours
2019-03-07T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19996,megawatthours
2019-03-07T11,CISO,California Independent System Operator,NG,Net generation,12839,megawatthours
2019-03-07T11,CISO,California Independent System Operator,TI,Total interchange,-5762,megawatthours
2019-03-07T12,CISO,California Independent System Operator,D,Demand,17873,megawatthours
2019-03-07T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19928,megawatthours
2019-03-07T12,CISO,California Independent System Operator,NG,Net generation,13306,megawatthours
2019-03-07T12,CISO,California Independent System Operator,TI,Total interchange,-5662,megawatthours
2019-03-07T13,CISO,California Independent System Operator,D,Demand,18133,megawatthours
2019-03-07T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20527,megawatthours
2019-03-07T13,CISO,California Independent System Operator,NG,Net generation,13739,megawatthours
2019-03-07T13,CISO,California Independent System Operator,TI,Total interchange,-5733,megawatthours
2019-03-07T14,CISO,California Independent System Operator,D,Demand,19008,megawatthours
2019-03-07T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22143,megawatthours
2019-03-07T14,CISO,California Independent System Operator,NG,Net generation,14909,megawatthours
2019-03-07T14,CISO,California Independent System Operator,TI,Total interchange,-6276,megawatthours
2019-03-07T15,CISO,California Independent System Operator,D,Demand,20003,megawatthours
2019-03-07T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24450,megawatthours
2019-03-07T15,CISO,California Independent System Operator,NG,Net generation,16644,megawatthours
2019-03-07T15,CISO,California Independent System Operator,TI,Total interchange,-7185,megawatthours
2019-03-07T16,CISO,California Independent System Operator,D,Demand,20147,megawatthours
2019-03-07T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25604,megawatthours
2019-03-07T16,CISO,California Independent System Operator,NG,Net generation,18576,megawatthours
2019-03-07T16,CISO,California Independent System Operator,TI,Total interchange,-5896,megawatthours
2019-03-07T17,CISO,California Independent System Operator,D,Demand,19839,megawatthours
2019-03-07T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25387,megawatthours
2019-03-07T17,CISO,California Independent System Operator,NG,Net generation,19192,megawatthours
2019-03-07T17,CISO,California Independent System Operator,TI,Total interchange,-4060,megawatthours
2019-03-07T18,CISO,California Independent System Operator,D,Demand,19729,megawatthours
2019-03-07T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24972,megawatthours
2019-03-07T18,CISO,California Independent System Operator,NG,Net generation,18938,megawatthours
2019-03-07T18,CISO,California Independent System Operator,TI,Total interchange,-3388,megawatthours
2019-03-07T19,CISO,California Independent System Operator,D,Demand,19564,megawatthours
2019-03-07T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24774,megawatthours
2019-03-07T19,CISO,California Independent System Operator,NG,Net generation,19020,megawatthours
2019-03-07T19,CISO,California Independent System Operator,TI,Total interchange,-3445,megawatthours
2019-03-07T20,CISO,California Independent System Operator,D,Demand,19321,megawatthours
2019-03-07T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24512,megawatthours
2019-03-07T20,CISO,California Independent System Operator,NG,Net generation,18570,megawatthours
2019-03-07T20,CISO,California Independent System Operator,TI,Total interchange,-3117,megawatthours
2019-03-07T21,CISO,California Independent System Operator,D,Demand,19091,megawatthours
2019-03-07T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24175,megawatthours
2019-03-07T21,CISO,California Independent System Operator,NG,Net generation,18159,megawatthours
2019-03-07T21,CISO,California Independent System Operator,TI,Total interchange,-3190,megawatthours
2019-03-07T22,CISO,California Independent System Operator,D,Demand,19001,megawatthours
2019-03-07T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24050,megawatthours
2019-03-07T22,CISO,California Independent System Operator,NG,Net generation,17522,megawatthours
2019-03-07T22,CISO,California Independent System Operator,TI,Total interchange,-3829,megawatthours
2019-03-07T23,CISO,California Independent System Operator,D,Demand,19220,megawatthours
2019-03-07T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24021,megawatthours
2019-03-07T23,CISO,California Independent System Operator,NG,Net generation,17309,megawatthours
2019-03-07T23,CISO,California Independent System Operator,TI,Total interchange,-4380,megawatthours
2019-03-08T00,CISO,California Independent System Operator,D,Demand,19408,megawatthours
2019-03-08T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24206,megawatthours
